varname,item_id,field_width,section,sentinel_codes,sentinel_meanings,sentinel_n,sentinel_pct,max_sentinel_pct,n_total
cesarean_section_indication_following_fa,6133,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,31523; 1900,54.9; 3.3,54.8760531996379,57444
cesarean_section_indication_trans_col1410,6134,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,31523; 1900,54.9; 3.3,54.8760531996379,57444
cesarean_section_indication_malpresentat,6135,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,31523; 1900,54.9; 3.3,54.8760531996379,57444
cesarean_section_indication_uteri_col1412,6136,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,31523; 1900,54.9; 3.3,54.8760531996379,57444
cesarean_section_indication_fetal_col1413,6137,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,31523; 1900,54.9; 3.3,54.8760531996379,57444
cesarean_section_indication_prola_col1414,6138,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,31523; 1900,54.9; 3.3,54.8760531996379,57444
cesarean_section_indication_place_col1415,6139,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,31523; 1900,54.9; 3.3,54.8760531996379,57444
cesarean_section_indication_abrup_col1416,6140,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,31523; 1900,54.9; 3.3,54.8760531996379,57444
cesarean_section_indication_elder_col1417,6141,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,31523; 1900,54.9; 3.3,54.8760531996379,57444
cesarean_section_indication_prior_ob_his,6142,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,31523; 1900,54.9; 3.3,54.8760531996379,57444
cesarean_section_indication_tumor_obstru,6143,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,31523; 1900,54.9; 3.3,54.8760531996379,57444
cesarean_section_indication_toxemia_ob_5,6144,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,31523; 1900,54.9; 3.3,54.8760531996379,57444
cesarean_section_indication_diabe_col1421,6145,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,31523; 1900,54.9; 3.3,54.8760531996379,57444
cesarean_section_delivery_of_body,6106,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,31520; 1918,54.9; 3.3,54.8698755331186,57445
cesarean_section_difficulty_of_hand_deli,6112,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,31520; 1927,54.9; 3.4,54.8698755331186,57445
cesarean_section_difficulty_of_body_deli,6113,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,31520; 1927,54.9; 3.4,54.8698755331186,57445
weight_3_yr,5973,3,Growth/Anthropometric,999,999=unknown,23746,54.8,54.8292502713062,43309
hemoglobin_lowest,5943,3,Obstetric Measures,999,999=unknown,29013,54.5,54.5326391368908,53203
hemoglobin_48_hrs,5991,2,Obstetric Measures,99,99=unknown,28716,54.0,53.974399939853,53203
hemoglobin_lowest_max_hemoglobin=child_l,5419,2,Obstetric Measures,99,99=unknown,28715,54.0,53.972520346597,53203
rupture_of_membranes_interval_from_rom_t,6155,4,Delivery Procedures,9999,9999=unknown,4742,51.2,51.1929180611033,9263
weight_gain_gravida,4997,3,Obstetric Measures,999,999=unknown,4524,45.6,45.6140350877193,9918
developmental_retardation_physical_sibli,5320,1,Family History/Siblings,8; 9,8=not ascertained; 9=unknown/not ascertained,15475; 24050,27.9; 43.4,43.3575510645586,55469
