varname,item_id,field_width,section,sentinel_codes,sentinel_meanings,sentinel_n,sentinel_pct,max_sentinel_pct,n_total
age_of_father_of_baby_or_husband_coded,5239,1,Registration/Pregnancy History,8,8=not ascertained,13246,23.4,23.4032403399353,56599
education_of_father_of_baby_or_husband_c,5242,1,Socioeconomic,9,9=unknown/not ascertained,12791,22.6,22.5993392109401,56599
molding_birth,5988,1,Neonatal Neurological,8; 9,8=not ascertained; 9=unknown/not ascertained,12153; 471,22.2; 0.9,22.1786261770932,54796
cord_stained_unstained,5990,1,Pathology/Placenta,8; 9,8=not ascertained; 9=unknown/not ascertained,12153; 471,22.2; 0.9,22.1786261770932,54796
motor_activity_neonate_rev_1,6014,1,Neonatal Neurological,8; 9,8=not ascertained; 9=unknown/not ascertained,12152; 419,22.2; 0.8,22.1768012263669,54796
head_circumference_4_yr,5967,2,Growth/Anthropometric,99,99=unknown,9260,21.4,21.3812371562493,43309
weight_4_yr,5974,3,Growth/Anthropometric,999,999=unknown,9164,21.2,21.159574222448,43309
length_body_4_yr,5983,3,Growth/Anthropometric,999,999=unknown,9100,21.0,21.0117989332471,43309
oxytocic_use,6052,1,Delivery Procedures,9,9=unknown/not ascertained,11712,20.4,20.3967189704115,57421
education_of_father_of_baby_or_husband_y,5241,2,Socioeconomic,99,99=unknown,11124,19.7,19.6540574921818,56599
hearing_pure_tone_left_ear,5925,1,Cognitive Assessment,9,9=unknown/not ascertained,3825,15.0,14.9952955935393,25508
hearing_pure_tone_right_ear,5924,1,Cognitive Assessment,9,9=unknown/not ascertained,3762,14.7,14.7483142543516,25508
labor_duration_of_second_stage_coded_gro,6149,2,Delivery Procedures,99,99=unknown,7899,13.8,13.7534170250553,57433
albuminuria_proteinuria_col104,5009,1,Obstetric Measures,8; 9,8=not ascertained; 9=unknown/not ascertained,7790; 715,13.6; 1.2,13.57237438149,57396
spondaic_word_test,5923,1,Cognitive Assessment,9,9=unknown/not ascertained,3272,12.8,12.8273482828916,25508
neurological_abnormalities_4_month,5937,1,Neonatal Neurological,9,9=unknown/not ascertained,5972,12.8,12.7544155650001,46823
occupation_of_father_of_baby_or_h_col385,5246,2,Delivery Procedures,88; 99,88=not applicable/no prior; 99=unknown,6878; 2391,12.1; 4.2,12.1446480912526,56634
occupation_of_father_of_baby_or_h_col387,5247,1,Socioeconomic,8; 9,8=not ascertained; 9=unknown/not ascertained,6878; 2391,12.1; 4.2,12.1446480912526,56634
speech_mechanism,5930,1,Cognitive Assessment,9,9=unknown/not ascertained,3096,12.1,12.1316614420063,25520
employment_status_of_father_of_baby_or_h,5240,1,Socioeconomic,8; 9,8=not ascertained; 9=unknown/not ascertained,6775; 882,12.0; 1.6,11.9701761515221,56599
hematocrit_lowest,5944,3,Obstetric Measures,999,999=unknown,6241,11.7,11.7305415108171,53203
fetal_heart_sound,5214,1,Obstetric Measures,9,9=unknown/not ascertained,6169,11.5,11.5377422009426,53468
labor_duration_of_first_stage_hrsmins_du,6146,4,Delivery Procedures,9999,9999=unknown,6616,11.5,11.5195096895513,57433
labor_duration_of_first_stage_coded_grou,6147,1,Delivery Procedures,9,9=unknown/not ascertained,6616,11.5,11.5195096895513,57433
hematocrit_48_hrs,5992,2,Obstetric Measures,99,99=unknown,6057,11.4,11.3846963517095,53203
hematocrit_lowest_max_hematocrit_child_l,5418,2,Obstetric Measures,99,99=unknown,6054,11.4,11.3790575719414,53203
labor_duration_of_second_stage_hrsmins_d,6148,4,Delivery Procedures,9999,9999=unknown,6493,11.3,11.3053471000992,57433
feeding_method_nursery_bottle_days_feedi,5410,1,Nursery/Feeding,8; 9,8=not ascertained; 9=unknown/not ascertained,692; 5903,1.3; 11.1,11.149305883464,52945
continued_feeding_method_nursery_breast,5411,1,Nursery/Feeding,9,9=unknown/not ascertained,5899,11.1,11.141750873548,52945
feeding_method_nursery_gavage_days_feedi,5412,1,Nursery/Feeding,9,9=unknown/not ascertained,5899,11.1,11.141750873548,52945
feeding_method_nursery_tube_days_feeding,5413,1,Nursery/Feeding,9,9=unknown/not ascertained,5899,11.1,11.141750873548,52945
feeding_method_nursery_other_days_feedin,5414,1,Nursery/Feeding,9,9=unknown/not ascertained,5899,11.1,11.141750873548,52945
locomotor_postural_development_observed,5939,1,Cognitive Assessment,8; 9,8=not ascertained; 9=unknown/not ascertained,696; 5048,1.5; 11.1,11.0682336432205,45608
last_prior_outcome_birthweight,4980,4,Registration/Pregnancy History,9999,9999=unknown,6249,10.9,10.9063301743547,57297
articulation_summary_score,5934,1,Cognitive Assessment,9,9=unknown/not ascertained,2780,10.9,10.8972600054878,25511
albuminuria_proteinuria_col106,5011,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,6149; 3282,10.7; 5.7,10.7132901247474,57396
vertex_delivery_forceps_application,6061,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,5822; 2622,10.1; 4.6,10.1303265995024,57471
motor_test_gross_hopping_left_foot,6024,1,Cognitive Assessment,8; 9,8=not ascertained; 9=unknown/not ascertained,3962; 432,10.1; 1.1,10.1270352478082,39123
motor_test_gross_hopping_right_foot,6023,1,Cognitive Assessment,8; 9,8=not ascertained; 9=unknown/not ascertained,3849; 432,9.8; 1.1,9.83820259182578,39123
hearing_summary_final,5929,1,Cognitive Assessment,9,9=unknown/not ascertained,2356,9.2,9.23197492163009,25520
labor_duration_of_first_and_secon_col1437,6151,4,Delivery Procedures,9999,9999=unknown,4965,8.6,8.64485574495499,57433
labor_duration_of_first_and_secon_col1441,6152,1,Delivery Procedures,9,9=unknown/not ascertained,4965,8.6,8.64485574495499,57433
global_scoring,5932,1,Cognitive Assessment,9,9=unknown/not ascertained,2178,8.5,8.53448275862069,25520
pathology_microscopic_membranes_n_col540,5376,1,Pathology/Placenta,9,9=unknown/not ascertained,3986,8.0,8.00835794507062,49773
pathology_microscopic_membranes_n_col541,5377,1,Pathology/Placenta,9,9=unknown/not ascertained,3986,8.0,8.00835794507062,49773
chest_circumference_at_birth,5960,2,Growth/Anthropometric,99,99=unknown,4236,8.0,8.00196459942951,52937
labor_total_duration_first_second_col1442,6153,4,Delivery Procedures,9999,9999=unknown,4187,7.3,7.29023383768913,57433
labor_total_duration_first_second_col1446,6154,1,Delivery Procedures,9,9=unknown/not ascertained,4187,7.3,7.29023383768913,57433
malformations_congenital_siblings_fob_ma,5334,1,Family History/Siblings,9,9=unknown/not ascertained,4005,7.2,7.22337451528542,55445
hematocrit_date_of_lowest_value_modayyr,5227,6,Obstetric Measures,999999,999999=unknown,3977,7.2,7.18908170643529,55320
height_of_mother,4995,2,Obstetric Measures,99,99=unknown,3931,6.8,6.84330553766342,57443
presentation_at_delivery_grouped,6056,1,Delivery Procedures,9,9=unknown/not ascertained,3874,6.7,6.74525098810788,57433
apgar_heart_rate_1_minute_one_minute_apg,5387,1,Apgar Scores,9,9=unknown/not ascertained,3607,6.7,6.74495577538007,53477
presentation_of_fetus_at_delivery,6055,3,Delivery Procedures,999,999=unknown,3872,6.7,6.74176866958021,57433
weight_prior_to_delivery_final_lbs,5223,3,Delivery Procedures,999,999=unknown,3842,6.7,6.67477414871439,57560
vertex_delivery_forceps_difficulty_of_tr,6083,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,3808; 2464,6.6; 4.3,6.62894942988946,57445
vertex_delivery_forceps_difficulty_of_ro,6084,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,3808; 2212,6.6; 3.9,6.62894942988946,57445
vertex_delivery_forceps_difficulty_of_co,6085,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,3808; 2051,6.6; 3.6,6.62894942988946,57445
vertex_delivery_forceps_difficulty_overa,6086,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,3808; 2000,6.6; 3.5,6.62894942988946,57445
speech_production,5931,1,Cognitive Assessment,9,9=unknown/not ascertained,1645,6.4,6.44592476489028,25520
albuminuria_proteinuria_col105,5010,1,Obstetric Measures,8; 9,8=not ascertained; 9=unknown/not ascertained,3714; 2041,6.4; 3.5,6.40897325280414,57950
income_per_capita,5234,4,Socioeconomic,9999,9999=unknown,3619,6.4,6.39410590293115,56599
menstrual_period_pmp,4990,6,Registration/Pregnancy History,999999,999999=unknown,3666,6.4,6.38420145237971,57423
patient_status_clinic_or_private,5196,1,Socioeconomic,9,9=unknown/not ascertained,3669,6.2,6.17770369247866,59391
birthweight_coded,5919,2,Birth Outcomes,99,99=unknown,3631,6.1,6.11392682146525,59389
birthweight_grams,5918,4,Birth Outcomes,9999,9999=unknown,3629,6.1,6.11055919446362,59389
family_income,5177,2,Socioeconomic,99,99=unknown,3448,6.1,6.0919804236824,56599
income_group,5178,1,Socioeconomic,9,9=unknown/not ascertained,3448,6.1,6.0919804236824,56599
marginal_sinus_rupture_marginal_sinus_ru,6167,1,Delivery Procedures,9,9=unknown/not ascertained,3556,6.1,6.06484402981256,58633
hemorrhage_vaginal_bleeding_by_trimester,5197,1,Pregnancy Conditions by Trimester,8,8=not ascertained,3479,6.0,6.00251902206732,57959
convulsions_by_trimester_of_report,5202,1,Pregnancy Conditions by Trimester,8,8=not ascertained,3477,6.0,5.99906830690661,57959
birthplace_of_father_of_baby_or_husband,5245,2,Cognitive Assessment,99,99=unknown,1457,6.0,5.96568808090734,24423
jaundice_by_trimester_of_report,5200,1,Pregnancy Conditions by Trimester,8,8=not ascertained,3441,5.9,5.9369554340137,57959
placenta_previa_degree,6053,1,Pathology/Placenta,9,9=unknown/not ascertained,3436,5.9,5.8604809824322,58630
placenta_previa_code,6054,1,Pathology/Placenta,9,9=unknown/not ascertained,3436,5.9,5.8604809824322,58630
labor_duration_of_third_stage_hrsmins_du,6150,4,Delivery Procedures,9999,9999=unknown,3356,5.8,5.84333048943987,57433
hemoglobin_date_of_lowest_value_modayyr,5228,6,Obstetric Measures,999999,999999=unknown,2577,5.8,5.81649926644848,44305
cry_first,5935,1,Delivery Procedures,9,9=unknown/not ascertained,3096,5.7,5.65004744871889,54796
language_expression,5928,1,Cognitive Assessment,9,9=unknown/not ascertained,1435,5.6,5.6230407523511,25520
cord_pathology_true_knot,6042,1,Pathology/Placenta,9,9=unknown/not ascertained,3121,5.4,5.43094297596882,57467
cord_pathology_ruptured_cord_vessel,6045,1,Pathology/Placenta,9,9=unknown/not ascertained,3118,5.4,5.42572258861608,57467
apgar_heart_rate_5_minute_five_minute_ap,5394,1,Apgar Scores,9,9=unknown/not ascertained,2873,5.4,5.37240308917853,53477
apgar_color_5_minute_five_minute_apgar_c,5398,1,Apgar Scores,9,9=unknown/not ascertained,2851,5.3,5.33126390784823,53477
apgar_muscle_tone_5_minute_five_minute_a,5396,1,Apgar Scores,9,9=unknown/not ascertained,2849,5.3,5.32752398227275,53477
apgar_reflex_irritability_5_minute_five,5397,1,Apgar Scores,9,9=unknown/not ascertained,2847,5.3,5.32378405669727,53477
skin_color,6015,1,Neonatal Neurological,8; 9,8=not ascertained; 9=unknown/not ascertained,2917; 2026,5.3; 3.7,5.32338126870575,54796
apgar_respiratory_effort_5_minute_five_m,5395,1,Apgar Scores,9,9=unknown/not ascertained,2846,5.3,5.32191409390953,53477
cord_pathology_cord_around_neck_tight_nu,6049,1,Pathology/Placenta,9,9=unknown/not ascertained,3050,5.3,5.3147925488351,57387
apgar_total_5_minute_score_five_minute_a,5399,2,Apgar Scores,99,99=unknown,2842,5.3,5.31443424275857,53477
apgar_total_5_minute_classified_groupint,5400,1,Apgar Scores,9,9=unknown/not ascertained,2842,5.3,5.31443424275857,53477
apgar_reflex_irritability_1_minute_one_m,5390,1,Apgar Scores,9,9=unknown/not ascertained,2841,5.3,5.31256427997083,53477
cord_pathology_cord_around_neck_loose_nu,6048,1,Pathology/Placenta,9,9=unknown/not ascertained,3047,5.3,5.30956488403297,57387
cord_pathology_cord_around_body,6047,1,Pathology/Placenta,9,9=unknown/not ascertained,3041,5.3,5.2991095544287,57387
apgar_muscle_tone_1_minute_one_minute_ap,5389,1,Apgar Scores,9,9=unknown/not ascertained,2823,5.3,5.2789049497915,53477
abruptio_placentae_degree,6039,1,Pathology/Placenta,9,9=unknown/not ascertained,3087,5.3,5.26513277958759,58631
abruptio_placentae_code,6040,1,Pathology/Placenta,9,9=unknown/not ascertained,3087,5.3,5.26513277958759,58631
apgar_color_1_minute_one_minute_apgar_co,5391,1,Apgar Scores,9,9=unknown/not ascertained,2812,5.3,5.25833535912635,53477
apgar_respiratory_effort_1_minute_one_mi,5388,1,Apgar Scores,9,9=unknown/not ascertained,2799,5.2,5.23402584288573,53477
apgar_total_1_minute_score_one_minute_ap,5392,2,Apgar Scores,99,99=unknown,2795,5.2,5.22654599173476,53477
apgar_total_1_minute_classified_groupint,5393,1,Apgar Scores,9,9=unknown/not ascertained,2795,5.2,5.22654599173476,53477
fever_by_trimester_of_report,5198,1,Pregnancy Conditions by Trimester,8,8=not ascertained,3017,5.2,5.20540381994168,57959
pathology_microscopic_membranes_r_col538,5374,1,Pathology/Placenta,9,9=unknown/not ascertained,2530,5.1,5.08307717035341,49773
pathology_microscopic_membranes_r_col539,5375,1,Pathology/Placenta,9,9=unknown/not ascertained,2530,5.1,5.08307717035341,49773
rupture_of_membranes_and_reason,6059,1,Delivery Procedures,9,9=unknown/not ascertained,2845,5.0,4.95446075614301,57423
bilirubin_serum_first_total_max_bilirubi,5417,2,Nursery/Feeding,99,99=unknown,2624,4.9,4.9320527037949,53203
bilirubin_serum_maximum_mgs_maximum_seru,5420,2,Nursery/Feeding,99,99=unknown,2621,4.9,4.92641392402684,53203
bilirubin_serum_maximum_coded_groupinter,5421,1,Nursery/Feeding,9,9=unknown/not ascertained,2621,4.9,4.92641392402684,53203
dystocia_shoulder,6050,1,Other,9,9=unknown/not ascertained,2827,4.9,4.92637448810665,57385
cord_prolapsed_degree,6057,1,Pathology/Placenta,9,9=unknown/not ascertained,2792,4.9,4.86521337585167,57387
cord_prolapsed_code,6058,1,Pathology/Placenta,9,9=unknown/not ascertained,2792,4.9,4.86521337585167,57387
mental_illness_psychiatric_treatm_col489,5343,1,Family History/Siblings,9,9=unknown/not ascertained,2685,4.8,4.84263684732618,55445
mental_illness_psychiatric_treatm_col490,5344,1,Family History/Siblings,9,9=unknown/not ascertained,2685,4.8,4.84263684732618,55445
language_reception,5927,1,Cognitive Assessment,9,9=unknown/not ascertained,1233,4.8,4.83150470219436,25520
uterine_dysfunction_uterine_dysfunction,6165,1,Delivery Procedures,9,9=unknown/not ascertained,2765,4.8,4.81154073713152,57466
labor_onset_spontaneous_or_induced,6051,1,Delivery Procedures,9,9=unknown/not ascertained,2759,4.8,4.80636900510426,57403
breech_delivery_complete_incomplete,6076,1,Delivery Procedures,9,9=unknown/not ascertained,2642,4.6,4.60086375034829,57424
breech_delivery_presentation,6075,1,Delivery Procedures,9,9=unknown/not ascertained,2638,4.6,4.59213870417436,57446
breech_delivery_presentation_attempts,6077,1,Delivery Procedures,9,9=unknown/not ascertained,2615,4.6,4.5538450821956,57424
sensory_defects_siblings_fob_sensory_def,5335,1,Family History/Siblings,9,9=unknown/not ascertained,2477,4.5,4.46749030570836,55445
sensory_defects_siblings_epilepsy_yes_no,5336,1,Family History/Siblings,9,9=unknown/not ascertained,2477,4.5,4.46749030570836,55445
edema_hands_or_face_by_trimester_of_repo,5201,1,Pregnancy Conditions by Trimester,8,8=not ascertained,2475,4.3,4.27026001138736,57959
diabetes_siblings_fob_diabetes,5345,1,Family History/Siblings,9,9=unknown/not ascertained,2296,4.1,4.14104067093516,55445
diabetes_siblings_yes_no_unknown_groupin,5346,1,Family History/Siblings,9,9=unknown/not ascertained,2296,4.1,4.14104067093516,55445
weight_gain_maximum_during_pregnancy,5211,2,Obstetric Measures,99,99=unknown,2278,4.0,3.96567031666173,57443
age_7_yr_neuro_exam,5958,3,Cognitive Assessment,999,999=unknown,1577,3.9,3.85470900246877,40911
puerperal_complications_col267,5172,1,Disease Summary Counts,9,9=unknown/not ascertained,2073,3.8,3.83888888888889,54000
toxemia_score,6063,1,Delivery Procedures,9,9=unknown/not ascertained,2179,3.8,3.79497718485492,57418
continued_mental_retardation_siblings_fo,5341,1,Family History/Siblings,9,9=unknown/not ascertained,2095,3.8,3.7785192533141,55445
mental_retardation_siblings_yes_n_col488,5342,1,Family History/Siblings,9,9=unknown/not ascertained,2095,3.8,3.7785192533141,55445
cesarean_section_elective,6072,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,1563; 2164,2.7; 3.8,3.76885297293532,57418
pelvic_summation_inlet,5210,1,Obstetric Measures,9,9=unknown/not ascertained,2153,3.7,3.74923813670004,57425
pathology_gross_cord_type_of_inse_col528,5366,1,Pathology/Placenta,9,9=unknown/not ascertained,1794,3.7,3.6796980760553,48754
pathology_gross_cord_type_of_inse_col529,5367,1,Pathology/Placenta,9,9=unknown/not ascertained,1794,3.7,3.6796980760553,48754
hypertension_blood_pressure_col101,5006,1,Obstetric Measures,9,9=unknown/not ascertained,2134,3.6,3.64680349300203,58517
hemorrhage_col241,5146,1,Delivery Procedures,9,9=unknown/not ascertained,2073,3.6,3.5557461406518,58300
hemorrhage_col242,5147,1,Delivery Procedures,9,9=unknown/not ascertained,2073,3.6,3.5557461406518,58300
puerperal_infection,5148,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,2073,3.6,3.5557461406518,58300
puerperal_complications_col244,5149,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,2073,3.6,3.5557461406518,58300
uterine_stimulant_induction_indic_col1473,6169,1,Delivery Procedures,9,9=unknown/not ascertained,2029,3.5,3.53072197957088,57467
uterine_stimulant_induction_indication_r,6170,1,Delivery Procedures,9,9=unknown/not ascertained,2029,3.5,3.53072197957088,57467
uterine_stimulant_induction_indication_t,6171,1,Delivery Procedures,9,9=unknown/not ascertained,2029,3.5,3.53072197957088,57467
uterine_stimulant_induction_indication_a,6172,1,Delivery Procedures,9,9=unknown/not ascertained,2029,3.5,3.53072197957088,57467
uterine_stimulant_induction_indication_d,6173,1,Delivery Procedures,9,9=unknown/not ascertained,2029,3.5,3.53072197957088,57467
uterine_stimulant_induction_indic_col1478,6174,1,Delivery Procedures,9,9=unknown/not ascertained,2029,3.5,3.53072197957088,57467
uterine_stimulant_induction_indication_p,6175,1,Delivery Procedures,9,9=unknown/not ascertained,2029,3.5,3.53072197957088,57467
uterine_stimulant_induction_indication_i,6176,1,Delivery Procedures,9,9=unknown/not ascertained,2029,3.5,3.53072197957088,57467
uterine_stimulant_induction_indication_o,6177,1,Delivery Procedures,9,9=unknown/not ascertained,2029,3.5,3.53072197957088,57467
uterine_stimulation_reaction,6093,1,Delivery Procedures,9,9=unknown/not ascertained,2028,3.5,3.52990322356054,57452
uterine_stimulant_no_response_reaction_t,6156,1,Delivery Procedures,9,9=unknown/not ascertained,2028,3.5,3.52990322356054,57452
uterine_stimulant_sustained_contraction,6157,1,Delivery Procedures,9,9=unknown/not ascertained,2028,3.5,3.52990322356054,57452
uterine_stimulant_persistent_increased_u,6158,1,Delivery Procedures,9,9=unknown/not ascertained,2028,3.5,3.52990322356054,57452
uterine_stimulant_significant_variation,6159,1,Delivery Procedures,9,9=unknown/not ascertained,2028,3.5,3.52990322356054,57452
uterine_stimulant_tumultuous_labor_andor,6160,1,Delivery Procedures,9,9=unknown/not ascertained,2028,3.5,3.52990322356054,57452
uterine_stimulant_other_unusual_reaction,6161,1,Delivery Procedures,9,9=unknown/not ascertained,2028,3.5,3.52990322356054,57452
mechanical_stimulation_use,6090,1,Delivery Procedures,9,9=unknown/not ascertained,2005,3.5,3.48986980435842,57452
coombs_test_direct_direct_coombs_test_ch,5416,1,Nursery/Feeding,9,9=unknown/not ascertained,1795,3.4,3.37386989455482,53203
vertex_delivery_procedures_vertex_at_for,6087,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,1936; 918,3.4; 1.6,3.37012150541378,57446
breech_delivery_internal_anomalies_diffi,6074,1,Delivery Procedures,9,9=unknown/not ascertained,1905,3.3,3.31621551048829,57445
cesarean_section_indication_primary,6110,2,Delivery Procedures,99,99=unknown,1905,3.3,3.31621551048829,57445
breech_delivery_method_difficulty_code,6073,1,Delivery Procedures,9,9=unknown/not ascertained,1904,3.3,3.31447471494473,57445
blood_type_child,5941,1,Obstetric Measures,9,9=unknown/not ascertained,1739,3.3,3.26861267221773,53203
rh_factor_child,5942,1,Obstetric Measures,9,9=unknown/not ascertained,1719,3.2,3.23102080709734,53203
delivery_method_type,6037,1,Delivery Procedures,9,9=unknown/not ascertained,1830,3.2,3.17141223159974,57703
length_body_birth_code,5977,1,Growth/Anthropometric,8; 9,8=not ascertained; 9=unknown/not ascertained,1633; 441,3.1; 0.8,3.08479891191416,52937
rh_factor,5226,1,Obstetric Measures,9,9=unknown/not ascertained,1768,3.1,3.06216117913989,57737
hypertension_blood_pressure_col98,5003,1,Obstetric Measures,9,9=unknown/not ascertained,1720,3.0,2.95051033536324,58295
albuminuria_proteinuria_col103,5008,1,Obstetric Measures,9,9=unknown/not ascertained,1718,2.9,2.94707950939189,58295
pathology_cord_arteries_number_umbilical,5368,1,Pathology/Placenta,9,9=unknown/not ascertained,1508,2.9,2.92883778744562,51488
albuminuria_proteinuria_col102,5007,1,Obstetric Measures,9,9=unknown/not ascertained,1695,2.9,2.90762501072133,58295
vomiting_by_trimester_of_report,5199,1,Pregnancy Conditions by Trimester,8,8=not ascertained,1640,2.8,2.82958643178799,57959
weight_pre_pregnancy,4996,3,Obstetric Measures,999,999=unknown,1617,2.8,2.81496439949167,57443
menstrual_cycle_unusual_interval,5205,1,Registration/Pregnancy History,8; 9,8=not ascertained; 9=unknown/not ascertained,926; 1562,1.6; 2.7,2.72016439405813,57423
pathology_gross_membranes_and_fet_col519,5361,1,Pathology/Placenta,9,9=unknown/not ascertained,1233,2.5,2.52902325962998,48754
pathology_gross_membranes_and_fet_col520,5362,1,Pathology/Placenta,9,9=unknown/not ascertained,1233,2.5,2.52902325962998,48754
heart_rate_fetal_less_than_110_andor_gre,5349,1,Obstetric Measures,9,9=unknown/not ascertained,1344,2.5,2.51365302610907,53468
motor_dominance_leg,5955,1,Cognitive Assessment,9,9=unknown/not ascertained,979,2.5,2.50236433811313,39123
motor_test_gross_line_walk,6022,1,Cognitive Assessment,8; 9,8=not ascertained; 9=unknown/not ascertained,957; 432,2.4; 1.1,2.44613143163868,39123
time_of_first_breath,5987,4,Delivery Procedures,8888; 9999,8888=not applicable/no prior; 9999=unknown,1327; 309,2.4; 0.6,2.42170961384043,54796
forceps_marks,5989,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,1327; 771,2.4; 1.4,2.42170961384043,54796
cry_present_absent,6016,1,Neonatal Neurological,8; 9,8=not ascertained; 9=unknown/not ascertained,1327; 622,2.4; 1.1,2.42170961384043,54796
time_of_birth,5986,4,Birth Outcomes,8888; 9999,8888=not applicable/no prior; 9999=unknown,1327; 34,2.4; 0.1,2.42166541963976,54797
length_body_code,5985,1,Growth/Anthropometric,8; 9,8=not ascertained; 9=unknown/not ascertained,971; 275,2.4; 0.7,2.37385096812048,40904
motor_dominance_eye,5956,1,Cognitive Assessment,9,9=unknown/not ascertained,923,2.4,2.35922603072362,39123
blood_type_gravida,5224,1,Obstetric Measures,9,9=unknown/not ascertained,1355,2.3,2.34684864125258,57737
motor_dominance_overall,5957,1,Cognitive Assessment,9,9=unknown/not ascertained,895,2.3,2.28765687702886,39123
infectious_diseases,5173,1,Disease Summary Counts,9,9=unknown/not ascertained,1157,2.1,2.14259259259259,54000
obstetrical_complications,5171,1,Disease Summary Counts,9,9=unknown/not ascertained,1118,2.1,2.07037037037037,54000
neurological_abnormalities_neonatal,5936,1,Neonatal Neurological,9,9=unknown/not ascertained,1058,2.0,2.02763563885854,52179
motor_test_fine_copy_forms_square,6032,1,Cognitive Assessment,8; 9,8=not ascertained; 9=unknown/not ascertained,783; 428,2.0; 1.1,2.00138026224983,39123
concept_formation,5948,1,Cognitive Assessment,8; 9,8=not ascertained; 9=unknown/not ascertained,285; 778,0.7; 2.0,1.98819350387161,39131
infectious_disease_viral,5150,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,1157,2.0,1.98456260720412,58300
infectious_disease_bacterial,5151,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,1157,2.0,1.98456260720412,58300
infectious_disease_parasitic,5152,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,1157,2.0,1.98456260720412,58300
infectious_disease_fungal,5153,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,1157,2.0,1.98456260720412,58300
infectious_disease_unknown,5154,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,1157,2.0,1.98456260720412,58300
vaccination,5155,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,1157,2.0,1.98456260720412,58300
motor_test_gross_ball_catch_trial_3,6027,1,Cognitive Assessment,8; 9,8=not ascertained; 9=unknown/not ascertained,771; 432,2.0; 1.1,1.97070776780922,39123
hyperemesis_gravidarum_col227,5132,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,1117,1.9,1.91595197255575,58300
hyperemesis_gravidarum_col228,5133,1,Delivery Procedures,9,9=unknown/not ascertained,1117,1.9,1.91595197255575,58300
hyperemesis_gravidarum_col229,5134,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,1117,1.9,1.91595197255575,58300
hydramnios,5135,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,1117,1.9,1.91595197255575,58300
uterine_bleeding_col231,5136,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,1117,1.9,1.91595197255575,58300
uterine_bleeding_col232,5137,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,1117,1.9,1.91595197255575,58300
uterine_bleeding_col233,5138,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,1117,1.9,1.91595197255575,58300
anesthetic_shock,5139,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,1117,1.9,1.91595197255575,58300
hemorrhagic_shock,5140,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,1117,1.9,1.91595197255575,58300
septic_shock,5141,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,1117,1.9,1.91595197255575,58300
positional_shock,5142,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,1117,1.9,1.91595197255575,58300
other_shock,5143,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,1117,1.9,1.91595197255575,58300
anesthetic_accident,5144,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,1117,1.9,1.91595197255575,58300
maternal_death,5145,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,1117,1.9,1.91595197255575,58300
graham_ernhart_block_sort,5953,2,Cognitive Assessment,88; 99,88=not applicable/no prior; 99=unknown,356; 723,0.9; 1.8,1.84801779004678,39123
motor_test_gross_ball_catch_trial_2,6026,1,Cognitive Assessment,8; 9,8=not ascertained; 9=unknown/not ascertained,696; 432,1.8; 1.1,1.7790046775554,39123
motor_test_gross_ball_catch_trial_1,6025,1,Cognitive Assessment,8; 9,8=not ascertained; 9=unknown/not ascertained,684; 432,1.7; 1.1,1.74833218311479,39123
fertility,4991,2,Registration/Pregnancy History,99,99=unknown,1001,1.7,1.74320394267106,57423
persons_supported_number,5230,2,Socioeconomic,99,99=unknown,976,1.7,1.72441209208643,56599
persons_supported_classified,5231,1,Socioeconomic,9,9=unknown/not ascertained,976,1.7,1.72441209208643,56599
motor_test_fine_porteus_maze_s,6034,1,Cognitive Assessment,8; 9,8=not ascertained; 9=unknown/not ascertained,670; 429,1.7; 1.1,1.71254760626741,39123
